,0,scores
245,ovcyst_diaml_study_yr_0,179.85183204622604
365,tvures_pvis1_study_yr_2,179.5397453156797
298,lantero_p_study_yr_1,179.1462315657544
332,ovcyst_sumr_study_yr_1,176.61923248211164
754,echo_study_yr_0_side_L_source_TVU_VISIT_1_sbcd_2,175.11983257075048
300,llong_p_study_yr_1,174.9415849015846
405,ovcyst_volr_study_yr_2,172.21793077239101
612,lvol_q_study_yr_5,169.33846153846156
533,lvol_q_study_yr_4,169.33846153846156
27,ca125_level1,166.0369523309941
460,ltran_p_study_yr_3,165.6595060217684
39,ca125ii_level1,165.16977909505204
102,osteopor_f,164.62772421959767
1202,echo_study_yr_1_side_R_source_TVU_VISIT_1_sbcd_1,164.19664155590405
266,numcystl_study_yr_0,163.35557317068756
116,smokea_f,163.00588067863126
1494,cyst_study_yr_2_side_R_source_TVU_VISIT_1_sbcd_1,161.82179237218222
397,ovcyst_outliner_study_yr_2,158.44251542625756
11,ovar_mra_stat1,158.36290807810886
187,entrydays_muq,157.8755634162892
936,echo_study_yr_0_side_R_source_TVU_VISIT_1_sbcd_1,157.42541546883473
697,cystw_study_yr_0_side_L_source_TVQ_VISIT_1_sbcd_2,156.5682453629274
1232,volum_study_yr_1_side_R_source_TVU_VISIT_1_sbcd_3,154.94557344702716
207,tvures_pvis1_study_yr_0,153.76114343137417
315,ca125_result_study_yr_1,153.0420520884408
233,phycons_study_yr_0,149.3607393283133
113,horm_f,147.84430938761002
1441,maxdi_study_yr_2_side_R_source_TVQ_VISIT_1_sbcd_1,147.3076622340243
1354,cyst_study_yr_2_side_L_source_TVU_VISIT_1_sbcd_1,146.77726687629797
404,ovcyst_diam_study_yr_2,146.30990700433762
1073,sepst_study_yr_1_side_L_source_TVU_VISIT_1_sbcd_1,145.62453623011274
121,cig_stat,145.4461363823925
1213,sepst_study_yr_1_side_R_source_TVU_VISIT_1_sbcd_2,143.742790398299
225,rantero_p_study_yr_0,141.7670312667651
117,rsmoker_f,140.96687935388692
399,ovcyst_outlinel_study_yr_2,140.57436552069896
314,tvu_result_study_yr_1,140.33577688522035
224,ltran_q_study_yr_0,139.91823603874514
268,numcyst_study_yr_0,139.5688193482313
1652,volum_study_yr_3_side_L_source_TVU_VISIT_1_sbcd_2,139.42921970540536
193,agelevel,138.0691320503604
82,prega,135.0211189218955
1442,volum_study_yr_2_side_R_source_TVQ_VISIT_1_sbcd_1,134.9877631286653
1198,solid_study_yr_1_side_R_source_TVU_VISIT_1_sbcd_1,134.36929350102452
384,rantero_q_study_yr_2,134.10008490692823
769,maxdi_study_yr_0_side_L_source_TVU_VISIT_1_sbcd_3,133.93325877570143
258,ovary_diaml_study_yr_0,133.4665697972169
1440,echo_study_yr_2_side_R_source_TVQ_VISIT_1_sbcd_1,133.4104046694548
166,entryage_sqx,132.0189252316028
1437,sepst_study_yr_2_side_R_source_TVQ_VISIT_1_sbcd_1,131.7026349186468
164,entryage_dqx,131.37516745818138
253,ovcyst_sumr_study_yr_0,131.08925347632737
12,ovar_mra_stat2,129.42886263908372
114,horm_stat,127.68417906457398
317,ovcyst_solidr_study_yr_1,127.18881062813666
177,ph_any_trial,125.11951720266147
498,ovary_vol_study_yr_3,124.76372155104667
303,ltran_q_study_yr_1,122.90320589415495
48,ca125_days1,122.37203211905164
419,ovary_vol_study_yr_2,121.38463704152682
376,rvol_q_study_yr_2,119.84250376573787
486,ovcyst_vol_study_yr_3,118.28330009939987
261,ovary_vol_study_yr_0,116.02847430817643
386,rlong_q_study_yr_2,115.21352680830793
115,smoked_f,114.894419829381
1072,solid_study_yr_1_side_L_source_TVU_VISIT_1_sbcd_1,114.33520314184778
373,lvol_p_study_yr_2,113.95894397646322
414,ovary_diam_study_yr_2,113.50125974489997
418,ovary_voll_study_yr_2,112.29241446373683
229,rtran_p_study_yr_0,112.07191012051686
54,tvu_days1,111.98109784325501
474,ovar_result_study_yr_3,110.79579030500523
186,entrydays_sqx,110.64479395425538
482,ovcyst_diaml_study_yr_3,109.8426648509271
215,lvol_p_study_yr_0,107.62510972278541
260,ovary_voll_study_yr_0,107.56965576186032
470,phycons_study_yr_3,105.33601970120485
395,ovar_result_study_yr_2,104.99835311080044
57,educat,104.0553865534689
257,ovary_diamr_study_yr_0,103.5515935718329
755,maxdi_study_yr_0_side_L_source_TVU_VISIT_1_sbcd_2,103.33539063646099
239,ovcyst_outliner_study_yr_0,102.52933423859187
932,solid_study_yr_0_side_R_source_TVU_VISIT_1_sbcd_1,101.49775914782492
333,ovcyst_suml_study_yr_1,98.95740771892176
381,ltran_p_study_yr_2,98.83591500845468
78,usound_history,98.27354354718084
319,ovcyst_solidl_study_yr_1,96.39825144973338
96,stroke_f,95.81409573152716
97,emphys_f,94.5515412025356
250,ovcyst_morphr_study_yr_0,93.91647764554966
935,cystw_study_yr_0_side_R_source_TVU_VISIT_1_sbcd_1,93.37347342535244
456,lantero_p_study_yr_3,92.27451280500787
20,ca125_result0,92.15697034316491
1216,echo_study_yr_1_side_R_source_TVU_VISIT_1_sbcd_2,91.25724883442244
727,maxdi_study_yr_0_side_L_source_TVQ_VISIT_2_sbcd_1,91.21627418812137
728,volum_study_yr_0_side_L_source_TVQ_VISIT_2_sbcd_1,91.21627416652778
1218,volum_study_yr_1_side_R_source_TVU_VISIT_1_sbcd_2,91.010615278363
63,brothers,90.05787182907432
56,tvu_days3,88.68251157096633
472,tvu_result_study_yr_3,88.60753381085611
210,QAMETHOD_study_yr_0,88.5050004786701
681,sepst_study_yr_0_side_L_source_TVQ_VISIT_1_sbcd_1,87.9609566996937
1353,sepst_study_yr_2_side_L_source_TVU_VISIT_1_sbcd_1,87.50600255678216
1214,cyst_study_yr_1_side_R_source_TVU_VISIT_1_sbcd_2,87.44480636764526
937,maxdi_study_yr_0_side_R_source_TVU_VISIT_1_sbcd_1,87.32914592721374
286,tvures_pvis1_study_yr_1,87.28344447445605
417,ovary_volr_study_yr_2,85.57659568384798
374,rvol_p_study_yr_2,85.5567860515152
495,ovary_diaml_study_yr_3,83.3322509944965
238,ovcyst_solidr_study_yr_0,82.95090100443218
444,tvures_pvis1_study_yr_3,82.89608615748048
118,ssmokea_f,82.84100462067154
132,height_f,82.61809216081458
1805,maxdi_study_yr_3_side_R_source_TVU_VISIT_1_sbcd_3,82.38578977830785
962,cyst_study_yr_0_side_R_source_TVU_VISIT_1_sbcd_3,82.0966007090494
50,ca125_days3,82.04818237439028
93,thorm,82.02190029221678
388,rtran_q_study_yr_2,80.97667658660296
1493,sepst_study_yr_2_side_R_source_TVU_VISIT_1_sbcd_1,80.53727405409057
1438,cyst_study_yr_2_side_R_source_TVQ_VISIT_1_sbcd_1,79.59252792573717
244,ovcyst_diamr_study_yr_0,79.41225163976604
1719,cystw_study_yr_3_side_R_source_TVQ_VISIT_1_sbcd_1,79.16341277164244
249,ovcyst_vol_study_yr_0,78.73437148142429
402,ovcyst_diamr_study_yr_2,78.5271650069542
379,llong_p_study_yr_2,77.5933105252537
1495,cystw_study_yr_2_side_R_source_TVU_VISIT_1_sbcd_1,77.52455302750569
737,sepst_study_yr_0_side_L_source_TVU_VISIT_1_sbcd_1,77.42787782551564
416,ovary_diaml_study_yr_2,77.40040848145152
165,entryage_dhq,77.02384868755242
101,arthrit_f,75.69419539666904
138,colon_comorbidity,75.53050009116947
708,solid_study_yr_0_side_L_source_TVQ_VISIT_1_sbcd_3,75.23786370061174
712,echo_study_yr_0_side_L_source_TVQ_VISIT_1_sbcd_3,75.23786370016876
400,ovcyst_solid_study_yr_2,74.54809847802366
1021,maxdi_study_yr_1_side_L_source_TVQ_VISIT_1_sbcd_1,72.94524438419893
371,tvures_qvis1_study_yr_2,71.29449177293651
393,tvu_result_study_yr_2,70.3978397731333
1204,volum_study_yr_1_side_R_source_TVU_VISIT_1_sbcd_1,70.0085417151936
413,ovcyst_sum_study_yr_2,69.74715758103679
934,cyst_study_yr_0_side_R_source_TVU_VISIT_1_sbcd_1,69.30949509978166
64,asp,69.08264054379387
756,volum_study_yr_0_side_L_source_TVU_VISIT_1_sbcd_2,68.32161434995166
502,viseith_study_yr_3,68.14963019745059
237,ovar_result_study_yr_0,67.62335384430946
310,tvu_ref_study_yr_1,67.52698292657007
490,ovcyst_sumr_study_yr_3,66.77011919579996
7,biopolink3,66.53810733123967
129,weight_f,66.28414916825723
316,ovar_result_study_yr_1,65.60118013760199
631,ca125_result_study_yr_5,65.26634223980842
632,ovar_result_study_yr_5,65.26634223980842
183,entrydays_bq,65.19541176880445
346,numcystr_study_yr_1,65.10620385737339
976,cyst_study_yr_0_side_R_source_TVU_VISIT_2_sbcd_1,65.03031007571737
483,ovcyst_diam_study_yr_3,64.9297888099448
947,sepst_study_yr_0_side_R_source_TVU_VISIT_1_sbcd_2,64.65496456834708
366,tvures_pvis2_study_yr_2,64.61820143143504
1352,solid_study_yr_2_side_L_source_TVU_VISIT_1_sbcd_1,64.36881797236262
449,detr_q_study_yr_3,64.13464716979685
1496,echo_study_yr_2_side_R_source_TVU_VISIT_1_sbcd_1,63.668984435068886
1525,maxdi_study_yr_2_side_R_source_TVU_VISIT_1_sbcd_3,63.34766563088336
167,entryage_muq,62.46044977073232
458,llong_p_study_yr_3,62.40867344853454
501,visboth_study_yr_3,61.78018003230907
491,ovcyst_suml_study_yr_3,61.72356047967573
895,maxdi_study_yr_0_side_R_source_TVQ_VISIT_2_sbcd_1,61.280465503625194
892,cyst_study_yr_0_side_R_source_TVQ_VISIT_2_sbcd_1,61.28046292626674
896,volum_study_yr_0_side_R_source_TVQ_VISIT_2_sbcd_1,61.280462853150496
975,sepst_study_yr_0_side_R_source_TVU_VISIT_2_sbcd_1,60.891918077265004
1436,solid_study_yr_2_side_R_source_TVQ_VISIT_1_sbcd_1,60.78575336929806
222,llong_q_study_yr_0,60.472473343493796
248,ovcyst_voll_study_yr_0,60.1942441063892
163,entryage_bq,59.280198423346455
106,bq_age,58.06452781660005
87,hystera,57.58713099113669
61,cigar,57.39521143510402
597,ca125_level_study_yr_5,56.82478016097586
1679,maxdi_study_yr_3_side_L_source_TVU_VISIT_2_sbcd_1,56.56100433162617
1680,volum_study_yr_3_side_L_source_TVU_VISIT_2_sbcd_1,56.218134591827315
281,ca125_level_study_yr_1,56.13761813399905
221,llong_p_study_yr_0,55.28856129196658
464,rlong_p_study_yr_3,54.769481743761254
147,bq_compdays,54.3112517028671
493,ovary_diam_study_yr_3,53.91829424170197
220,lantero_q_study_yr_0,53.719857640970226
1523,cystw_study_yr_2_side_R_source_TVU_VISIT_1_sbcd_3,52.104654333440315
1526,volum_study_yr_2_side_R_source_TVU_VISIT_1_sbcd_3,51.20061475036207
275,tvu_assess_days_q_study_yr_0,49.90635925568891
1212,solid_study_yr_1_side_R_source_TVU_VISIT_1_sbcd_2,49.34034702940593
694,solid_study_yr_0_side_L_source_TVQ_VISIT_1_sbcd_2,48.712487480852005
698,echo_study_yr_0_side_L_source_TVQ_VISIT_1_sbcd_2,48.712487480410566
711,cystw_study_yr_0_side_L_source_TVQ_VISIT_1_sbcd_3,48.56982722770436
435,tvudays_pvis1_study_yr_2,47.48143571175143
369,detl_q_study_yr_2,47.38735349472243
14,ovar_mra_stat4,46.92441608328184
1678,echo_study_yr_3_side_L_source_TVU_VISIT_2_sbcd_1,46.8316733066757
33,ca125_src1,46.68701120635591
83,pregc,46.086793074659596
329,ovcyst_morphr_study_yr_1,45.958003111660695
55,tvu_days2,45.522988843319794
938,volum_study_yr_0_side_R_source_TVU_VISIT_1_sbcd_1,45.21002437565089
742,volum_study_yr_0_side_L_source_TVU_VISIT_1_sbcd_1,45.14122950774715
1228,cyst_study_yr_1_side_R_source_TVU_VISIT_1_sbcd_3,44.89688967927792
247,ovcyst_volr_study_yr_0,43.993134086855
487,ovcyst_morphr_study_yr_3,43.84528762466303
1451,sepst_study_yr_2_side_R_source_TVQ_VISIT_1_sbcd_2,43.539403681047695
1465,sepst_study_yr_2_side_R_source_TVQ_VISIT_1_sbcd_3,43.48594133376607
1468,echo_study_yr_2_side_R_source_TVQ_VISIT_1_sbcd_3,43.48594133350114
232,medcomp_study_yr_0,43.14970376991985
686,volum_study_yr_0_side_L_source_TVQ_VISIT_1_sbcd_1,42.94334222967871
557,ovcyst_outlinel_study_yr_4,42.82879377431907
636,ovcyst_outlinel_study_yr_5,42.82879377431907
1509,cystw_study_yr_2_side_R_source_TVU_VISIT_1_sbcd_2,42.790518668650805
179,ovar_eligible_bq,42.40021221088926
353,ovar_days_study_yr_1,42.32391222008699
49,ca125_days2,42.18229827699569
403,ovcyst_diaml_study_yr_2,42.144581827578065
1454,echo_study_yr_2_side_R_source_TVQ_VISIT_1_sbcd_2,40.776632259322064
92,curhorm,40.727445257496875
285,detr_p_study_yr_1,40.631956628173675
216,rvol_p_study_yr_0,40.628538337524866
259,ovary_volr_study_yr_0,40.53389219919055
398,ovcyst_solidl_study_yr_2,40.411052792616886
105,bq_returned,40.36636014545688
481,ovcyst_diamr_study_yr_3,40.15391519724737
1385,maxdi_study_yr_2_side_L_source_TVU_VISIT_1_sbcd_3,40.004086916757004
1456,volum_study_yr_2_side_R_source_TVQ_VISIT_1_sbcd_2,39.95102729164092
350,ca125_days_study_yr_1,39.949422879296336
44,orem_fyro,39.919937255538244
168,ph_any_bq,39.49478028043255
79,bq_adminm,39.379417066172216
1455,maxdi_study_yr_2_side_R_source_TVQ_VISIT_1_sbcd_2,38.07730980892511
15,ovar_mra_stat5,37.6940132441375
235,tvu_result_study_yr_0,37.60443496614556
227,rlong_p_study_yr_0,37.594114398831145
518,ca125_level_study_yr_4,37.13681656402104
513,tvu_days_study_yr_3,36.671435765122304
695,sepst_study_yr_0_side_L_source_TVQ_VISIT_1_sbcd_2,36.485876510625886
696,cyst_study_yr_0_side_L_source_TVQ_VISIT_1_sbcd_2,36.485876446362006
450,tvures_qvis1_study_yr_3,36.34367725284048
682,cyst_study_yr_0_side_L_source_TVQ_VISIT_1_sbcd_1,36.07951123343444
290,detl_q_study_yr_1,35.89504736138595
523,tvures_pvis1_study_yr_4,35.73701298701299
602,tvures_pvis1_study_yr_5,35.73701298701299
89,ibuppd,35.70759200444082
1285,cystw_study_yr_2_side_L_source_TVQ_VISIT_1_sbcd_1,35.565006390794885
59,occupat,35.37679894209869
1633,sepst_study_yr_3_side_L_source_TVU_VISIT_1_sbcd_1,35.29008867437063
119,cigpd_f,35.255274318742785
1664,echo_study_yr_3_side_L_source_TVU_VISIT_1_sbcd_3,35.21028047736405
1022,volum_study_yr_1_side_L_source_TVQ_VISIT_1_sbcd_1,34.59761660292198
313,physid_study_yr_1,34.53000716820812
512,tvu_assess_days_q_study_yr_3,34.45826011582877
95,hearta_f,34.339282607367345
685,maxdi_study_yr_0_side_L_source_TVQ_VISIT_1_sbcd_1,34.214630479030305
331,ovcyst_morph_study_yr_1,34.043513518921316
214,tvures_qvis2_study_yr_0,34.0372339789805
1399,maxdi_study_yr_2_side_L_source_TVU_VISIT_2_sbcd_1,33.979148876060904
741,maxdi_study_yr_0_side_L_source_TVU_VISIT_1_sbcd_1,33.656687084905194
412,ovcyst_suml_study_yr_2,33.616623313323466
505,numcyst_study_yr_3,33.54272951240456
779,sepst_study_yr_0_side_L_source_TVU_VISIT_2_sbcd_1,33.53645288295568
683,cystw_study_yr_0_side_L_source_TVQ_VISIT_1_sbcd_1,33.533762289097375
1632,solid_study_yr_3_side_L_source_TVU_VISIT_1_sbcd_1,33.48464039705327
343,visboth_study_yr_1,33.468841505877336
504,numcystr_study_yr_3,32.58328939384268
784,volum_study_yr_0_side_L_source_TVU_VISIT_2_sbcd_1,32.49353215276628
765,sepst_study_yr_0_side_L_source_TVU_VISIT_1_sbcd_3,32.274917292133544
1720,echo_study_yr_3_side_R_source_TVQ_VISIT_1_sbcd_1,31.99338871405133
307,rlong_q_study_yr_1,31.489139820756623
1297,sepst_study_yr_2_side_L_source_TVQ_VISIT_1_sbcd_2,31.232437638607948
1296,solid_study_yr_2_side_L_source_TVQ_VISIT_1_sbcd_2,31.232437638607948
1299,cystw_study_yr_2_side_L_source_TVQ_VISIT_1_sbcd_2,31.23243443774345
1298,cyst_study_yr_2_side_L_source_TVQ_VISIT_1_sbcd_2,31.23243443774345
75,mammo_history,30.92916360358954
423,viseith_study_yr_2,30.922866757594644
72,benign_ovcyst,30.27366645719761
1512,volum_study_yr_2_side_R_source_TVU_VISIT_1_sbcd_2,30.058086160606717
292,tvures_qvis1_study_yr_1,30.041710066519514
357,tvudays_pvis2_study_yr_1,29.94071912246622
448,detl_q_study_yr_3,29.89353848611804
1492,solid_study_yr_2_side_R_source_TVU_VISIT_1_sbcd_1,29.660999798941944
700,volum_study_yr_0_side_L_source_TVQ_VISIT_1_sbcd_2,29.534072017709267
135,post_menopausal,29.00614257373918
130,weight20_f,28.888556808967454
1522,cyst_study_yr_2_side_R_source_TVU_VISIT_1_sbcd_3,28.81935854025331
342,visr_study_yr_1,28.49835888779051
610,lvol_p_study_yr_5,28.36855670103093
531,lvol_p_study_yr_4,28.36855670103093
494,ovary_diamr_study_yr_3,28.17235573762616
781,cystw_study_yr_0_side_L_source_TVU_VISIT_2_sbcd_1,28.109028661219643
778,solid_study_yr_0_side_L_source_TVU_VISIT_2_sbcd_1,28.00347043176231
396,ovcyst_solidr_study_yr_2,27.56112006541778
284,detl_p_study_yr_1,27.5035436589194
65,ibup,27.467682005886523
1718,cyst_study_yr_3_side_R_source_TVQ_VISIT_1_sbcd_1,27.465055259323417
768,echo_study_yr_0_side_L_source_TVU_VISIT_1_sbcd_3,26.380484325595017
782,echo_study_yr_0_side_L_source_TVU_VISIT_2_sbcd_1,26.34290085537223
283,ca125ii_src_study_yr_1,26.261936999783483
282,ca125_src_study_yr_1,26.26193699973647
68,miscar,26.21631652414094
1019,cystw_study_yr_1_side_L_source_TVQ_VISIT_1_sbcd_1,26.20105092446953
1577,sepst_study_yr_3_side_L_source_TVQ_VISIT_1_sbcd_2,26.0059823149005
1806,volum_study_yr_3_side_R_source_TVU_VISIT_1_sbcd_3,25.536468139073328
684,echo_study_yr_0_side_L_source_TVQ_VISIT_1_sbcd_1,25.48030195304137
364,detr_p_study_yr_2,25.26878905713947
489,ovcyst_morph_study_yr_3,25.220383197081105
436,tvudays_pvis2_study_yr_2,25.166435959250705
272,ca125i_assess_days_study_yr_0,25.094126381357423
208,tvures_pvis2_study_yr_0,25.05263983242315
600,detl_p_study_yr_5,25.044368600682592
521,detl_p_study_yr_4,25.044368600682592
1201,cystw_study_yr_1_side_R_source_TVU_VISIT_1_sbcd_1,24.97605881392119
415,ovary_diamr_study_yr_2,24.712713585318536
421,visr_study_yr_2,24.575253169425107
429,ca125_days_study_yr_2,24.374048175134238
864,cyst_study_yr_0_side_R_source_TVQ_VISIT_1_sbcd_2,24.149037541900245
866,echo_study_yr_0_side_R_source_TVQ_VISIT_1_sbcd_2,24.149036769633458
862,solid_study_yr_0_side_R_source_TVQ_VISIT_1_sbcd_2,24.149036716474427
461,ltran_q_study_yr_3,24.025477100980375
764,solid_study_yr_0_side_L_source_TVU_VISIT_1_sbcd_3,23.899368118989713
383,rantero_p_study_yr_2,23.803513540614354
496,ovary_volr_study_yr_3,23.700507000018742
479,ovcyst_solid_study_yr_3,23.291393153078154
453,rvol_p_study_yr_3,23.276889507784812
385,rlong_p_study_yr_2,23.246588425768635
477,ovcyst_solidl_study_yr_3,23.19484705886698
66,fmenstr,23.057292573287423
134,menstrs_stat_type,23.054779594984492
408,ovcyst_morphr_study_yr_2,22.57934647091041
1199,sepst_study_yr_1_side_R_source_TVU_VISIT_1_sbcd_1,22.551516337570852
411,ovcyst_sumr_study_yr_2,22.541601047968985
753,cystw_study_yr_0_side_L_source_TVU_VISIT_1_sbcd_2,22.296892668533893
74,uterine_fib,22.28873509058375
1773,sepst_study_yr_3_side_R_source_TVU_VISIT_1_sbcd_1,22.177648675890463
98,bronchit_f,22.08502625542399
1660,solid_study_yr_3_side_L_source_TVU_VISIT_1_sbcd_3,21.98526745710312
709,sepst_study_yr_0_side_L_source_TVQ_VISIT_1_sbcd_3,21.9130651076331
713,maxdi_study_yr_0_side_L_source_TVQ_VISIT_1_sbcd_3,21.78209207333122
780,cyst_study_yr_0_side_L_source_TVU_VISIT_2_sbcd_1,21.77919445118268
514,tvudays_pvis1_study_yr_3,21.758246843661635
468,tvu_ref_study_yr_3,21.577335197348045
752,cyst_study_yr_0_side_L_source_TVU_VISIT_1_sbcd_2,21.483779910994503
1636,echo_study_yr_3_side_L_source_TVU_VISIT_1_sbcd_1,21.3283177220126
377,lantero_p_study_yr_2,21.186371091125466
128,bmi_curc,20.959793912541944
81,trypreg,20.941861326864238
351,ca125i_assess_days_study_yr_1,20.898789815341583
1226,solid_study_yr_1_side_R_source_TVU_VISIT_1_sbcd_3,20.83232227194992
1370,echo_study_yr_2_side_L_source_TVU_VISIT_1_sbcd_2,20.68882160205164
605,QAMETHOD_study_yr_5,20.670422535211266
526,QAMETHOD_study_yr_4,20.670422535211266
127,bmi_curr,20.613347829526692
1666,volum_study_yr_3_side_L_source_TVU_VISIT_1_sbcd_3,20.589698384415783
1508,cyst_study_yr_2_side_R_source_TVU_VISIT_1_sbcd_2,20.44159259793261
431,ca125ii_assess_days_study_yr_2,20.275046391502904
387,rtran_p_study_yr_2,20.17063120995201
